RCS,DATE,EFFECTIFS,NATURE
345086177,2021-04-14,51,jugement de conversion en liquidation judiciaire
414993998,2021-04-27,51,jugement d'ouverture de liquidation judiciaire
954507976,2021-06-02,51,jugement de clôture pour insuffisance d'actif
398471565,2021-02-02,42,jugement de conversion en liquidation judiciaire
384353413,2021-04-08,42,jugement d'ouverture de liquidation judiciaire
384353413,2021-04-08,42,jugement de conversion en liquidation judiciaire
402254437,2021-09-28,42,jugement de conversion en liquidation judiciaire
440916351,2021-01-21,32,jugement d'ouverture de liquidation judiciaire
434400206,2021-02-10,32,jugement de conversion en liquidation judiciaire
399341460,2021-03-01,32,jugement de conversion en liquidation judiciaire
326661774,2021-03-04,32,jugement de conversion en liquidation judiciaire
382032480,2021-04-20,32,jugement d'extension d'une procédure de redressement judiciaire
309382901,2021-05-25,32,jugement de conversion en liquidation judiciaire
382032480,2021-05-27,32,jugement de conversion en liquidation judiciaire
752816496,2021-06-22,32,jugement de conversion en liquidation judiciaire
399318088,2021-09-02,32,jugement de conversion en liquidation judiciaire
833669625,2021-09-16,32,jugement de conversion en liquidation judiciaire
352617393,2021-09-29,32,jugement d'ouverture de liquidation judiciaire
321227506,2021-10-12,32,jugement de conversion en liquidation judiciaire
389333568,2021-01-05,31,jugement de conversion en liquidation judiciaire
517833687,2021-02-10,31,jugement de conversion en liquidation judiciaire
340125327,2021-02-24,31,jugement de conversion en liquidation judiciaire
505397554,2021-03-10,31,jugement de conversion en liquidation judiciaire
751588567,2021-09-15,31,jugement d'ouverture de liquidation judiciaire
380003699,2021-01-07,22,jugement de conversion en liquidation judiciaire
499796233,2021-01-13,22,jugement de conversion en liquidation judiciaire
784718801,2021-01-07,22,jugement d'ouverture de liquidation judiciaire
327323770,2021-02-24,22,jugement de conversion en liquidation judiciaire
443044243,2021-04-14,22,jugement de conversion en liquidation judiciaire
410268437,2021-04-08,22,jugement de conversion en liquidation judiciaire
833669567,2021-04-19,22,jugement de conversion en liquidation judiciaire
711680140,2021-04-23,22,jugement de conversion en liquidation judiciaire
813865870,2021-04-30,22,jugement de conversion en liquidation judiciaire
530390715,2021-05-31,22,jugement d'ouverture de liquidation judiciaire
379916919,2021-05-26,22,jugement de conversion en liquidation judiciaire
382068120,2021-06-14,22,jugement de conversion en liquidation judiciaire
754015923,2021-06-11,22,jugement de conversion en liquidation judiciaire
384890281,2021-06-24,22,jugement de conversion en liquidation judiciaire
531332310,2021-06-28,22,jugement de conversion en liquidation judiciaire
493729305,2021-07-08,22,jugement d'ouverture de liquidation judiciaire
552140816,2021-08-02,22,jugement de conversion en liquidation judiciaire
441600327,2021-08-25,22,jugement de conversion en liquidation judiciaire
311441539,2021-09-24,22,jugement de clôture pour insuffisance d'actif
352433015,2020-12-18,21,jugement de clôture pour insuffisance d'actif
471202424,2020-12-23,21,jugement de conversion en liquidation judiciaire
798744264,2021-01-08,21,jugement de conversion en liquidation judiciaire
477514806,2021-01-13,21,jugement de conversion en liquidation judiciaire
485175186,2021-01-12,21,jugement d'ouverture de liquidation judiciaire
333845337,2021-01-13,21,jugement de conversion en liquidation judiciaire
814852109,2021-01-06,21,jugement de conversion en liquidation judiciaire
522086651,2021-01-13,21,jugement de conversion en liquidation judiciaire
390888659,2021-01-19,21,jugement de conversion en liquidation judiciaire
954201125,2021-01-07,21,jugement de conversion en liquidation judiciaire
791270671,2021-01-21,21,jugement d'ouverture de liquidation judiciaire
828692244,2021-01-26,21,jugement d'ouverture de liquidation judiciaire
384217170,2021-01-28,21,jugement de conversion en liquidation judiciaire
830782587,2021-02-02,21,jugement de conversion en liquidation judiciaire
331337154,2021-02-09,21,jugement de conversion en liquidation judiciaire
794981050,2021-02-10,21,jugement de conversion en liquidation judiciaire
495272536,2021-02-08,21,jugement de conversion en liquidation judiciaire
318650272,2021-02-24,21,jugement de conversion en liquidation judiciaire
835081605,2021-03-04,21,jugement de conversion en liquidation judiciaire
507895456,2021-02-24,21,jugement de conversion en liquidation judiciaire
309192821,2021-03-01,21,jugement d'ouverture de liquidation judiciaire
354200438,2021-03-10,21,jugement de conversion en liquidation judiciaire
443814207,2021-03-12,21,jugement de conversion en liquidation judiciaire
322759499,2021-03-24,21,jugement de conversion en liquidation judiciaire
302077987,2021-03-12,21,jugement de conversion en liquidation judiciaire
799957840,2021-03-25,21,jugement de clôture pour insuffisance d'actif
423683093,2020-11-12,21,jugement de conversion en liquidation judiciaire
391751898,2021-04-15,21,jugement de conversion en liquidation judiciaire
421763442,2021-04-01,21,jugement de conversion en liquidation judiciaire
487515769,2021-04-12,21,jugement de clôture pour insuffisance d'actif
484283882,2021-04-14,21,jugement de conversion en liquidation judiciaire
499813913,2021-04-22,21,jugement de clôture pour insuffisance d'actif
392137097,2021-04-21,21,jugement de clôture pour insuffisance d'actif
414890665,2021-04-29,21,jugement d'ouverture de liquidation judiciaire
433054178,2021-04-21,21,jugement de conversion en liquidation judiciaire
388933004,2021-05-04,21,jugement de conversion en liquidation judiciaire
793810847,2021-05-04,21,jugement de conversion en liquidation judiciaire
838234078,2021-05-06,21,jugement de clôture pour insuffisance d'actif
407512185,2021-05-18,21,jugement de conversion en liquidation judiciaire
335233409,2021-05-17,21,jugement d'ouverture de liquidation judiciaire
841291057,2021-05-12,21,jugement de clôture pour insuffisance d'actif
788882389,2021-05-21,21,jugement de conversion en liquidation judiciaire
682820311,2021-05-26,21,jugement de conversion en liquidation judiciaire
444100473,2021-06-01,21,jugement de conversion en liquidation judiciaire
344935945,2021-06-03,21,jugement de clôture pour insuffisance d'actif
390233013,2021-06-18,21,jugement de conversion en liquidation judiciaire
328253992,2021-06-18,21,jugement de conversion en liquidation judiciaire
419107107,2021-06-23,21,jugement de conversion en liquidation judiciaire de la procédure de sauvegarde
