SIREN,SIRET,NOM,EFFECTIF,CP,VILLE1,PAYS
328705009,32870500900111,COMAU FRANCE,32,81100,CASTRES,NULL
334818515,33481851500069,GRAVOTECH MARKING,32,10600,LA CHAPELLE-SAINT-LUC,NULL
338752991,33875299100103,AMADA EUROPE,32,59310,ORCHIES,NULL
409893443,40989344300161,FIVES MACHINING,32,38130,ECHIROLLES,NULL
401224811,40122481100059,NUMALLIANCE,31,67700,SAVERNE,NULL
333244796,33324479600012,TRUMPF MACHINES SARL,22,67500,HAGUENAU,NULL
338752991,33875299100020,AMADA EUROPE,22,08000,CHARLEVILLE-MEZIERES,NULL
338752991,33875299100038,AMADA EUROPE,22,72500,MONTVAL-SUR-LOIR,NULL
340767433,34076743300055,HURON-GRAFFENSTADEN SAS,22,67114,ESCHAU,NULL
401224811,40122481100018,NUMALLIANCE,22,88470,SAINT-MICHEL-SUR-MEURTHE,NULL
409893443,40989344300146,FIVES MACHINING,22,12700,CAPDENAC-GARE,NULL
562086454,56208645400039,"""PROCESS CONCEPTION INGENIERIE-SOC DE CONSTRUCTION D'EQUIPEMENTS",22,42100,SAINT-ETIENNE,NULL
998447411,99844741100013,DIMECO,22,25480,PIREY,NULL
328375431,32837543100017,GAMET PRECISION,21,27110,LE NEUBOURG,NULL
328705009,32870500900194,COMAU FRANCE,21,78190,TRAPPES,NULL
331327072,33132707200020,JOUANEL INDUSTRIE,21,37800,SAINTE-MAURE-DE-TOURAINE,NULL
332662865,33266286500028,SOCIETE DE MECANIQUE ET D'AUTOMATISME DU BOURBONNAIS,21,03000,MOULINS,NULL
345332977,34533297700064,AQUARESE INDUSTRIES SAS,21,62138,DOUVRIN,NULL
397980111,39798011100025,PRONIC,21,74970,MARIGNIER,NULL
398288746,39828874600025,SA COPEX,21,56850,CAUDAN,NULL
402268239,40226823900017,STARRAG S.A.S,21,42000,SAINT-ETIENNE,NULL
409893443,40989344300013,FIVES MACHINING,21,46400,SAINT-LAURENT-LES-TOURS,NULL
409893443,40989344300138,FIVES MACHINING,21,80300,ALBERT,NULL
501613293,50161329300015,HENNIG FRANCE,21,03300,CREUZIER-LE-NEUF,NULL
542047337,54204733700028,BDM FRANCE,21,45330,LE MALESHERBOIS,NULL
306354671,30635467100019,CENTRE D ETUDES ET REALISATIONS INDUSTRI,12,27400,LOUVIERS,NULL
324398627,32439862700079,DANIELI HENSCHEL,12,73420,MERY,NULL
330620543,33062054300018,CAZENEUVE,12,38780,PONT-EVEQUE,NULL
333221604,33322160400049,TECHNIQUE MODERNE UNIVERSELLE ABRASION,12,43300,LANGEAC,NULL
337980080,33798008000028,RECOS MACHINES,12,67590,SCHWEIGHOUSE-SUR-MODER,NULL
338752991,33875299100079,AMADA EUROPE,12,93290,TREMBLAY-EN-FRANCE,NULL
339583387,33958338700016,SUD OUEST SYSTEME,12,46100,CAPDENAC,NULL
344071121,34407112100034,INDUSTRIALISATION ET DEVELOPPEMENT,12,57270,RICHEMONT,NULL
345297006,34529700600016,GP OUTILLAGE,12,69220,SAINT-LAGER,NULL
379803356,37980335600029,DE-STA-CO FRANCE,12,43250,SAINTE-FLORINE,NULL
380414169,38041416900017,LDSA,12,55000,BAR-LE-DUC,NULL
381025659,38102565900024,SUD MAINTENANCE INDUSTRIE,12,65100,LOURDES,NULL
382660280,38266028000027,SOMEX MULHOUSE SA,12,68190,ENSISHEIM,NULL
388778862,38877886200028,SIC MARKING,12,69480,POMMIERS,NULL
389596842,38959684200069,MAINTENANCE MACHINES OUTILS,12,74950,SCIONZIER,NULL
390871622,39087162200036,CONCEPTION MACHINES FAVEYRIAL,12,63118,CEBAZAT,NULL
394382527,39438252700015,MACHINES SERDI,12,74000,ANNECY,NULL
401224811,40122481100026,NUMALLIANCE,12,08140,BAZEILLES,NULL
401224811,40122481100034,NUMALLIANCE,12,35133,LA SELLE-EN-LUITRE,NULL
401224811,40122481100042,NUMALLIANCE,12,69390,VOURLES,NULL
403101728,40310172800026,AUTOMATISATION MACHINES USINAGE,12,49500,SEGRE-EN-ANJOU BLEU,NULL
407953546,40795354600030,M C R,12,69740,GENAS,NULL
411664303,41166430300012,SERMAS INDUSTRIE,12,38210,SAINT-QUENTIN-SUR-ISERE,NULL
412441537,41244153700021,JIDET,12,45200,AMILLY,NULL
414581363,41458136300028,AXXAIR,12,26800,ETOILE-SUR-RHONE,NULL
417771870,41777187000041,MICHEL PIOCH,12,46400,SAINT-CERE,NULL
425055720,42505572000030,LASER CHEVAL,12,70150,MARNAY,NULL
428830681,42883068100030,TECHNOMARK,12,42350,LA TALAUDIERE,NULL
434916573,43491657300026,SOGEMA ENGINEERING,12,59390,LYS-LEZ-LANNOY,NULL
434916573,43491657300034,SOGEMA ENGINEERING,12,59390,LYS-LEZ-LANNOY,NULL
438674228,43867422800038,MTI ENGINEERING,12,79140,CERIZAY,NULL
442642492,44264249200049,PAROLAI STIL'ECO,12,38190,VILLARD-BONNOT,NULL
450696752,45069675200028,PEMTEC,12,57600,FORBACH,NULL
451096531,45109653100038,AL INDUSTRIE,12,03140,CHANTELLE,NULL
504328527,50432852700024,SIIF,12,56850,CAUDAN,NULL
514895580,51489558000025,PHENIX TECHNOLOGIE,12,31560,MONTGEARD,NULL
518079215,51807921500019,ESCOFIER,12,71100,CHALON-SUR-SAONE,NULL
518859103,51885910300021,SMP TECHNIK,12,69780,TOUSSIEU,NULL
518986963,51898696300016,PRESSMAC,12,25000,BESANCON,NULL
535354955,53535495500010,COLLY BOMBLED,12,70180,AUTET,NULL
554503813,55450381300038,MIB-HYDRO,12,42500,LE CHAMBON-FEUGEROLLES,NULL
789740057,78974005700037,BEAM,12,67100,STRASBOURG,NULL
790612113,79061211300049,ADDITION MANUFACTURING TECHNOLOGIES FRANCE,12,31770,COLOMIERS,NULL
307146456,30714645600024,DESCOMBES PRECIMECA,11,26130,SAINT-RESTITUT,NULL
308091131,30809113100026,ETABLISSEMENTS ROTY ET FILS,11,35400,SAINT-MALO,NULL
325567733,32556773300028,SOCOPRESSES,11,18500,MEHUN-SUR-YEVRE,NULL
325598993,32559899300013,LIPEMEC MACHINES OUTILS,11,25290,ORNANS,NULL
327697728,32769772800019,LISSE,11,59720,LOUVROIL,NULL
