DATE,EFFECTIFS
2008-02-05,03
2008-03-03,03
2008-03-25,11
2008-05-13,12
2008-07-09,03
2008-08-18,03
2008-08-26,03
2008-08-27,03
2008-09-29,12
2008-10-08,03
2008-10-08,03
2008-10-21,03
2008-11-12,03
2008-12-16,03
2009-02-02,03
2009-02-19,12
2009-03-03,03
2009-03-10,03
2009-04-22,03
2009-06-18,03
2009-09-21,11
2009-09-21,11
2009-09-25,03
2010-01-07,03
2010-02-04,03
2010-03-05,11
2010-05-18,03
2010-06-15,11
2010-07-01,12
2010-07-22,11
2010-07-26,11
2010-10-05,12
2010-10-15,03
2010-10-18,12
2011-04-05,12
2011-04-12,03
2011-05-04,11
2011-05-04,03
2011-05-18,21
2011-05-18,11
2011-08-03,11
2011-12-08,22
2011-12-12,03
2012-03-13,03
2012-04-04,11
2012-04-18,12
2012-05-16,03
2012-06-20,03
2012-09-14,03
2012-09-19,03
2012-10-24,03
2012-10-24,03
2013-01-28,12
2013-02-05,03
2013-06-28,03
2013-09-06,03
2013-09-20,11
2013-11-12,11
2014-01-07,12
2014-01-27,11
2014-01-27,21
2014-02-19,03
2014-04-16,03
2014-05-26,03
2014-06-11,03
2014-07-01,03
2014-07-15,12
2014-07-16,12
2014-07-22,11
2014-07-29,03
2014-08-07,12
2014-08-07,03
2014-08-07,11
2014-08-19,12
2014-09-10,03
2014-09-11,03
2014-09-17,03
2014-09-23,03
2014-09-24,03
2014-09-29,11
2014-09-30,11
2014-09-30,03
2014-09-30,03
2014-10-01,03
2014-10-03,03
2014-10-07,03
2014-10-07,12
2014-10-08,11
2014-10-13,11
2014-10-14,12
2014-10-14,03
2014-10-16,11
2014-10-27,11
2014-11-03,03
2014-11-03,11
2014-11-04,03
2014-11-12,03
2014-11-12,11
2014-11-13,03
2014-11-17,11
2014-11-17,03
2014-11-18,03
2014-11-18,03
2014-11-18,03
2014-11-18,21
2014-11-18,03
2014-11-21,11
2014-11-26,11
2014-11-27,11
2014-12-11,12
2014-12-15,11
2014-12-15,12
2014-12-16,03
2014-12-16,12
2014-12-16,03
2014-12-17,11
2014-12-17,03
2014-12-17,12
2014-12-18,03
2014-12-18,03
